Move #,direction,stance,lead foot,hips,tech type,tech subtype,active side,speed,snap/thrust,interm move,level of tech,breath,kiai
1,W,F,L,H,B ,gedanbarai,L,fast,T,Y,gedan,IO,
2,W,F,R,S,P ,oizuki,R,fast,T,N,chudan,IO,
3,E,F,R,H,B ,gedanbarai,R,fast,T,Y,gedan,IO,
4,E,F,R,H,S,tetsuiuchi,R,fast,T,Y,chudan,IO,
5,E,F,L,S,P ,oizuki,L,fast,T,N,chudan,IO,
6,N,F,L,H,B ,gedanbarai,L,fast,T,Y,gedan,IO,
7,N,F,R,S,B ,ageuke,R,fast,T,Y,chudan,IO,
8,N,F,L,S,B ,ageuke,L,fast,T,Y,chudan,IO,
9,N,F,R,S,B ,ageuke,R,fast,T,Y,chudan,IO,Y
10,E,F,L,H,B ,gedanbarai,L,fast,T,Y,gedan,IO,
11,E,F,R,S,P ,oizuki,R,fast,T,N,chudan,IO,
12,W,F,R,H,B ,gedanbarai,R,fast,T,Y,gedan,IO,
13,W,F,L,S,P ,oizuki,L,fast,T,N,chudan,IO,
14,S,F,L,H,B ,gedanbarai,L,fast,T,Y,gedan,IO,
15,S,F,R,S,P ,oizuki,R,fast,T,N,chudan,IO,
16,S,F,L,S,P ,oizuki,L,fast,T,N,chudan,IO,
17,S,F,R,S,P ,oizuki,R,fast,T,N,chudan,IO,Y
18,W,B,L,H,B ,shutouke,L,fast,T,Y,chudan,IO,
19,NW,B,R,H,B ,shutouke,R,fast,T,Y,chudan,IO,
20,E,B,R,H,B ,shutouke,R,fast,T,Y,chudan,IO,
21,NE,B,L,H,B ,shutouke,L,fast,T,Y,chudan,IO,
