name,series,hiragana,kanji
Taikyoku Shodan,Other,たいきょくしょだん,太極初段
Heian Shodan,Heian,へいあんしょだん,平安初段
Heian Nidan,Heian,へいあんにだん,平安二段
Heian Sandan,Heian,へいあんさんだん,平安三段
Heian Yondan,Heian,へいあんよんだん,平安四段
Heian Godan,Heian,へいあんごだん,平安五段
Tekki Shodan,Tekki,てっきしょだん,鉄騎初段
Tekki Nidan,Tekki,てっきにだん,鉄騎二段
Tekki Sandan,Tekki,てっきさんだん,鉄騎三段
Jion,Other,じおん,慈恩
Jiin,Other,じいん,慈陰
Jitte,Other,じって,十手
Bassai Dai,Bassai,ばっさいだい,抜塞大
Bassai Sho,Bassai,ばっさいしょう,抜塞小
Kanku Dai,Kanku,かんくうだい,観空大
Kanku Sho,Kanku,かんくうしょう,観空小
Empi,Other,えんぴ,燕飛
Gankaku,Other,がんかく,岩鶴
Chinte,Other,ちんて,珍手
Sochin,Other,そーちん,壮鎮
Hangetsu,Other,はんげつ,半月
Nijushiho,Other,にじゅうしほ,二十四歩
Gojushiho Sho,Other,ごじゅうしほしょう,五十四歩小
Gojushiho Dai,Other,ごじゅうしほだい,五十四歩大
Wankan,Other,わんかん,王冠
Unsu,Other,うんすう,雲手
